run_time,ticker,bar_start,broker_bar_end,close,previous_close,daily_change,daily_change_pct,volume_shares,volume_lots,wr5,psy12,psy24,k,d,j,wr5_previous,psy12_previous,psy24_previous,j_previous,wr_direction,psy12_direction,psy24_direction,j_direction,alignment_score,alignment,three_in_one_status,wr_status,psy12_status,psy24_status,j_status,freshness,quote_age_minutes,safety_notice,bias3,mtm3,di_osc,d_minus_m
2026-08-07 03:41:48,2454.TW,2026-08-07 11:20,2026-08-07 11:25,3890.0,3920.0,-30.0,-0.7653061224489796,3417189,3417.189,-100.0,8.333333333333332,29.166666666666668,12.763188533282753,18.97414297462912,0.3412796505900246,-100.0,8.333333333333332,33.33333333333333,13.27510800916778,→,→,↓,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,🔴 OVERSOLD,🔴 LOW,⚪ NEUTRAL,🟠 LOW,🟡 DELAYED,21.80710488333333,Research only — do not use for execution,,,,
2026-08-07 03:41:48,2882.TW,2026-08-07 11:20,2026-08-07 11:25,98.9000015258789,97.5,1.4000015258789062,1.4358990009014423,5885661,5885.661,-49.99936421550552,25.0,33.33333333333333,40.26426897233021,42.93481064121526,34.92318563456011,-71.4281043258384,16.666666666666664,33.33333333333333,28.363099587089565,↑,↑,→,↑,3,3/3,🟢 THREE-IN-ONE RESONANCE,⚪ NEUTRAL,🟡 LOW — RECOVERING,⚪ NEUTRAL,🟢 RECOVERY TRIGGER,🟡 DELAYED,21.8090924,Research only — do not use for execution,,,,
2026-08-07 03:46:49,0050.TW,2026-08-07 11:25,2026-08-07 11:30,102.5999984741211,103.04000091552734,-0.44000244140625,-0.4270209991234045,41865015,41865.015,-100.0,33.33333333333333,37.5,28.29472423385045,52.436399719253714,-19.98862673695608,-90.90858648911085,33.33333333333333,41.66666666666667,-1.6882158715836797,↓,→,↓,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,🔴 OVERSOLD,⚪ NEUTRAL,⚪ NEUTRAL,🔴 EXTREME LOW,🟡 DELAYED,21.83072755,Research only — do not use for execution,,,,
2026-08-07 03:46:49,2330.TW,2026-08-07 11:25,2026-08-07 11:30,2360.0,2365.0,-5.0,-0.2114164904862579,9218057,9218.057,-100.0,33.33333333333333,29.166666666666668,24.987592354749165,50.28038524569224,-25.597993427137,-100.0,33.33333333333333,33.33333333333333,-13.409397785956315,→,→,↓,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,🔴 OVERSOLD,⚪ NEUTRAL,⚪ NEUTRAL,🔴 EXTREME LOW,🟡 DELAYED,21.832769966666667,Research only — do not use for execution,,,,
2026-08-07 03:46:50,2454.TW,2026-08-07 11:25,2026-08-07 11:30,3875.0,3920.0,-45.0,-1.1479591836734695,3686508,3686.508,-100.0,8.333333333333332,25.0,10.977928157990972,17.131783303239448,-1.3297821325059829,-88.88888888888889,8.333333333333332,29.166666666666668,8.983254959232006,↓,→,↓,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,🔴 OVERSOLD,🔴 LOW,🔴 LOW,🔴 EXTREME LOW,🟡 DELAYED,21.83508061666667,Research only — do not use for execution,,,,
2026-08-07 03:46:50,2882.TW,2026-08-07 11:25,2026-08-07 11:30,98.9000015258789,97.5,1.4000015258789062,1.4358990009014423,5921054,5921.054,-24.99952316466078,25.0,29.166666666666668,41.12861216757143,42.33274448333398,38.72034753604632,-49.99936421550552,25.0,33.33333333333333,34.92318563456011,↑,→,↓,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,🔴 LOW,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,21.837117383333336,Research only — do not use for execution,,,,
2026-08-07 03:51:51,0050.TW,2026-08-07 11:30,2026-08-07 11:35,102.5999984741211,103.04000091552734,-0.44000244140625,-0.4270209991234045,44183607,44183.607,-84.61565548082679,33.33333333333333,41.66666666666667,23.99126432895804,42.954687922488496,-13.935582858102876,-100.0,33.33333333333333,37.5,-19.98862673695608,↑,→,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,🟡 RECOVERING,⚪ NEUTRAL,⚪ NEUTRAL,🟡 EXTREME — RECOVERING,🟡 DELAYED,21.859651316666667,Research only — do not use for execution,,,,
2026-08-07 03:51:51,2330.TW,2026-08-07 11:30,2026-08-07 11:35,2365.0,2365.0,0.0,0.0,9706554,9706.554,-80.0,33.33333333333333,33.33333333333333,23.325061569832776,41.29527735373909,-12.61536999797984,-100.0,33.33333333333333,29.166666666666668,-25.597993427137,↑,→,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,🟡 RECOVERING,⚪ NEUTRAL,⚪ NEUTRAL,🟡 EXTREME — RECOVERING,🟡 DELAYED,21.86155645,Research only — do not use for execution,,,,
2026-08-07 03:51:51,2454.TW,2026-08-07 11:30,2026-08-07 11:35,3885.0,3920.0,-35.0,-0.8928571428571428,3754025,3754.025,-77.77777777777777,16.666666666666664,29.166666666666668,14.726026179401387,16.329864261960097,11.518350014283968,-100.0,8.333333333333332,25.0,-1.3297821325059829,↑,↑,↑,↑,3,3/3,🟢 THREE-IN-ONE RESONANCE,🟢 TRIGGERED,🟡 LOW — RECOVERING,⚪ NEUTRAL,🟢 EXTREME V-TURN,🟡 DELAYED,21.86392775,Research only — do not use for execution,,,,
2026-08-07 03:51:51,2882.TW,2026-08-07 11:30,2026-08-07 11:35,98.9000015258789,97.5,1.4000015258789062,1.4358990009014423,5972478,5972.478,-33.33248563145313,33.33333333333333,33.33333333333333,38.53030699020062,40.00708732755677,35.576746315488336,-49.99904632932156,25.0,29.166666666666668,27.60947862635232,↑,↑,↑,↑,3,3/3,🟢 THREE-IN-ONE RESONANCE,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟢 RECOVERY TRIGGER,🟡 DELAYED,21.86635558333333,Research only — do not use for execution,,,,
2026-08-07 03:56:53,0050.TW,2026-08-07 11:35,2026-08-07 11:40,102.6999969482422,103.04000091552734,-0.3400039672851562,-0.3299727914054397,44733795,44733.795,-63.63712026633375,33.33333333333333,41.66666666666667,29.66914912523709,39.66575606556568,9.675935244579946,-69.23131096165358,33.33333333333333,41.66666666666667,-1.9699815654126096,↑,→,→,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟢 EXTREME V-TURN,🟡 DELAYED,21.88802425,Research only — do not use for execution,,,,
2026-08-07 03:56:53,2330.TW,2026-08-07 11:35,2026-08-07 11:40,2370.0,2365.0,5.0,0.2114164904862579,10215075,10215.075,-50.0,33.33333333333333,33.33333333333333,33.32781882433296,40.120939325418526,19.74157782216183,-60.0,33.33333333333333,33.33333333333333,2.9401855575757025,↑,→,→,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 LOW — RECOVERING,🟡 DELAYED,21.890122533333333,Research only — do not use for execution,,,,
2026-08-07 03:56:53,2454.TW,2026-08-07 11:35,2026-08-07 11:40,3895.0,3920.0,-25.0,-0.6377551020408163,3880731,3880.731,-50.0,16.666666666666664,29.166666666666668,29.570437206020674,22.38947911162638,43.93235339480927,-55.55555555555556,16.666666666666664,29.166666666666668,28.80230063156792,↑,→,→,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,🔴 LOW,⚪ NEUTRAL,🟢 RECOVERY TRIGGER,🟡 DELAYED,21.89254091666667,Research only — do not use for execution,,,,
2026-08-07 03:56:53,2882.TW,2026-08-07 11:35,2026-08-07 11:40,98.8000030517578,97.5,1.3000030517578125,1.333336463341346,6046453,6046.453,-100.0,33.33333333333333,29.166666666666668,35.21083655152095,38.40833706887816,28.81583551680653,-33.33248563145313,33.33333333333333,33.33333333333333,35.576746315488336,↓,→,↓,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,🔴 OVERSOLD,⚪ NEUTRAL,⚪ NEUTRAL,🟠 LOW,🟡 DELAYED,21.894666416666663,Research only — do not use for execution,,,,
2026-08-07 04:01:54,0050.TW,2026-08-07 11:40,2026-08-07 11:45,102.75,103.04000091552734,-0.2900009155273437,-0.2814449853946408,45009171,45009.171,-28.57111716621253,41.66666666666667,41.66666666666667,34.30941750444649,38.45014388850456,26.02796473633036,-54.54570675544458,41.66666666666667,45.83333333333333,15.659192349355422,↑,→,↓,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 LOW — RECOVERING,🟡 DELAYED,21.91304758333333,Research only — do not use for execution,,,,
2026-08-07 04:01:54,2330.TW,2026-08-07 11:40,2026-08-07 11:45,2370.0,2365.0,5.0,0.2114164904862579,10263719,10263.719,-33.333333333333336,41.66666666666667,37.5,31.107434771777527,35.63495632605671,22.05239166321917,-75.0,33.33333333333333,33.33333333333333,4.1860222666062725,↑,↑,↑,↑,3,3/3,🟢 THREE-IN-ONE RESONANCE,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 LOW — RECOVERING,🟡 DELAYED,21.915232916666664,Research only — do not use for execution,,,,
2026-08-07 04:01:55,2454.TW,2026-08-07 11:40,2026-08-07 11:45,3900.0,3920.0,-20.0,-0.5102040816326531,3917274,3917.274,-16.666666666666668,25.0,29.166666666666668,43.17041492747057,30.9625482518872,67.5861482786373,-25.0,25.0,33.33333333333333,61.2163040120932,↑,→,↓,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,🔴 LOW,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,21.91733945,Research only — do not use for execution,,,,
2026-08-07 04:01:55,2882.TW,2026-08-07 11:40,2026-08-07 11:45,98.6999969482422,97.5,1.1999969482421875,1.2307661007612178,6055485,6055.485,-100.0,33.33333333333333,29.166666666666668,29.029375947181244,35.28201669497919,16.52409445158534,-66.66497126290626,33.33333333333333,29.166666666666668,28.81583551680653,↓,→,→,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,🔴 OVERSOLD,⚪ NEUTRAL,⚪ NEUTRAL,🟠 LOW,🟡 DELAYED,21.919519283333333,Research only — do not use for execution,,,,
2026-08-07 04:06:56,0050.TW,2026-08-07 11:45,2026-08-07 11:50,102.75,103.04000091552734,-0.2900009155273437,-0.2814449853946408,45292965,45292.965,-28.57111716621253,41.66666666666667,41.66666666666667,33.98392569738106,36.39157048148478,29.16863612917362,-42.85776566757493,41.66666666666667,41.66666666666667,20.04470763155489,↑,→,→,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 LOW — RECOVERING,🟡 DELAYED,21.9409489,Research only — do not use for execution,,,,
2026-08-07 04:06:56,2330.TW,2026-08-07 11:45,2026-08-07 11:50,2365.0,2365.0,0.0,0.0,10323078,10323.078,-50.0,33.33333333333333,37.5,27.40495651451835,32.891623055543924,16.431623432467205,-33.333333333333336,41.66666666666667,37.5,22.05239166321917,↓,↓,→,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟠 LOW,🟡 DELAYED,21.94332955,Research only — do not use for execution,,,,
2026-08-07 04:06:56,2454.TW,2026-08-07 11:45,2026-08-07 11:50,3895.0,3920.0,-25.0,-0.6377551020408163,3942357,3942.357,-33.333333333333336,25.0,25.0,41.12595563065939,33.52730544398821,56.32325600400175,-33.333333333333336,25.0,29.166666666666668,58.944172969995336,→,→,↓,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,⚪ NEUTRAL,🔴 LOW,🔴 LOW,⚪ NEUTRAL,🟡 DELAYED,21.9476235,Research only — do not use for execution,,,,
2026-08-07 04:06:57,2882.TW,2026-08-07 11:45,2026-08-07 11:50,98.9000015258789,97.5,1.4000015258789062,1.4358990009014423,6166722,6166.722,-0.0,33.33333333333333,33.33333333333333,51.76067203123227,43.244100403063,68.7938152875708,-0.0,41.66666666666667,33.33333333333333,42.45067970957963,→,↓,→,↑,1,1/3,⚪ EARLY / ISOLATED MOVEMENT,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,21.95013456666667,Research only — do not use for execution,,,,
2026-08-07 04:11:58,0050.TW,2026-08-07 11:50,2026-08-07 11:55,102.6999969482422,103.04000091552734,-0.3400039672851562,-0.3299727914054397,45913532,45913.532,-42.85776566757493,33.33333333333333,37.5,31.202678114433667,34.09210568248912,25.42382297832276,-42.85776566757493,33.33333333333333,37.5,23.18537902439816,→,→,→,↑,1,1/3,⚪ EARLY / ISOLATED MOVEMENT,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 LOW — RECOVERING,🟡 DELAYED,21.971877516666662,Research only — do not use for execution,,,,
2026-08-07 04:11:58,2330.TW,2026-08-07 11:50,2026-08-07 11:55,2365.0,2365.0,0.0,0.0,10393372,10393.372,-50.0,33.33333333333333,37.5,29.38108212079001,33.20292422544077,21.7373979114885,-0.0,33.33333333333333,37.5,31.98717898802276,↓,→,→,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟠 LOW,🟡 DELAYED,21.97411065,Research only — do not use for execution,,,,
