Ticker,T_action,Winner,FWD10,MAE10,JWarn,B10Warn,DMWarn,JLag,B10Lag,DMLag,JCloseDist,B10CloseDist,DMCloseDist,JLowDist,B10LowDist,DMLowDist,FirstFamily,ComboCount,Combo
2882,2023-09-12,False,-4.715971470481117,-4.823150967641066,True,True,True,3.0,4.0,6.0,0.0,-0.5359056630712344,-2.0364431551249673,-0.1071876744314415,-0.750272834662602,-2.1436226522849156,J,3,J+B10+DM
2882,2023-11-15,False,0.0,-0.6557360372908105,True,True,False,1.0,8.0,,-0.21857589971824298,0.0,,-0.5464480874316946,-0.21857589971824298,,J,2,J+B10
2882,2023-11-21,False,-1.3001132588953523,-1.6251353742197217,True,True,True,2.0,4.0,10.0,0.3250221153243693,-0.8667421725969016,-1.3001132588953523,0.0,-1.0834235828131478,-1.6251353742197217,J,3,J+B10+DM
2882,2024-03-07,True,8.24972327496154,-0.22296204575967815,True,False,False,2.0,,,2.6755870764006318,,,1.8952114107848361,,,J,1,J_ONLY
2882,2024-09-19,True,4.938266662867674,-0.4629676506622826,True,True,False,1.0,9.0,,-0.15433039939172222,1.8518470551362576,,-0.4629676506622826,1.5432098038657083,,J,2,J+B10
2882,2024-09-23,True,3.66972701817021,-0.1529028620611328,True,True,False,1.0,7.0,,1.3761490900314088,0.9174288381073925,,-0.1529028620611328,0.6116231139851269,,J,2,J+B10
2330,2021-12-28,True,7.317073170731714,-0.1626016260162566,True,False,False,2.0,,,0.0,,,0.0,,,J,1,J_ONLY
2330,2022-01-04,True,0.9146341463414532,-4.4207317073170715,True,False,False,1.0,,,-0.9146341463414642,,,-1.5243902439024404,,,J,1,J_ONLY
2330,2022-05-31,False,-9.107142857142858,-9.464285714285714,True,True,True,1.0,4.0,8.0,-1.9642857142857184,-4.46428571428571,-7.857142857142863,-2.1428571428571463,-5.000000000000004,-8.03571428571429,J,3,J+B10+DM
2330,2022-06-08,False,-9.099264705882348,-9.099264705882348,True,True,True,1.0,2.0,3.0,-0.5514705882352922,-2.573529411764708,-5.147058823529416,-1.2867647058823484,-2.757352941176472,-5.330882352941179,J,3,J+B10+DM
2330,2023-01-13,True,8.000000000000007,-0.10000000000000009,True,True,False,4.0,9.0,,4.400000000000004,4.600000000000004,,4.200000000000004,4.400000000000004,,J,2,J+B10
2330,2023-03-23,False,-2.6022304832713727,-2.9739776951672847,True,True,True,2.0,7.0,10.0,-1.3011152416356864,-1.486988847583648,-2.6022304832713727,-1.3011152416356864,-2.2304832713754608,-2.9739776951672847,J,3,J+B10+DM
2330,2023-03-30,False,-3.738317757009346,-4.672897196261683,True,True,True,1.0,2.0,5.0,-0.37383177570093906,-0.9345794392523366,-2.0560747663551426,-0.5607476635513975,-1.6822429906542036,-2.4299065420560706,J,3,J+B10+DM
2330,2023-05-18,True,3.9622641509434064,-1.132075471698113,True,False,False,3.0,,,0.0,,,-0.9433962264150941,,,J,1,J_ONLY
