Ticker,T_action,FWD10,Winner,MAE10,B3Cross,B5Cross,B10Cross,B20Cross,B3Lag,B5Lag,B10Lag,B20Lag,B3CloseDist,B5CloseDist,B10CloseDist,B20CloseDist,B3LowDist,B5LowDist,B10LowDist,B20LowDist,CascadeDepth,Ordered35,Ordered3510,Ordered351020
2330,2025-12-10,-0.6644518272425293,False,-5.980066445182719,True,True,True,True,1,1.0,3.0,4.0,-2.3255813953488413,-2.3255813953488413,-3.6544850498338888,-4.651162790697672,-2.657807308970095,-2.657807308970095,-3.9867109634551534,-5.3156146179402,4,True,True,True
2330,2026-04-09,6.39386189258313,True,0.7672634271099765,True,True,False,False,6,6.0,,,3.8363171355498826,3.8363171355498826,,,3.8363171355498826,3.8363171355498826,,,2,True,False,False
2454,2021-12-27,-5.676855895196509,False,-6.986899563318783,True,True,True,True,4,4.0,7.0,8.0,0.4366812227074135,0.4366812227074135,-0.8733624454148492,-3.9301310043668103,0.0,0.0,-3.056768558951961,-4.8034934497816595,4,True,True,True
2454,2022-02-17,-9.292035398230093,False,-9.292035398230091,True,True,True,True,1,3.0,1.0,5.0,-0.8849557522123908,-1.7699115044247815,-0.8849557522123908,-6.194690265486724,-2.212389380530977,-3.539823008849563,-2.212389380530977,-6.63716814159292,4,True,False,False
2454,2022-05-30,0.2277904328018332,True,-1.3667425968109326,True,True,True,False,3,5.0,9.0,,2.277904328018221,1.3667425968109326,1.0250569476081939,,2.1640091116173155,1.3667425968109326,0.7972665148063829,,3,True,True,False
2454,2022-05-31,-2.3204419889502725,False,-4.3093922651933685,True,True,True,False,2,4.0,8.0,,-0.7734806629834279,-1.6574585635359074,-1.9889502762430955,,-0.8839779005524906,-1.6574585635359074,-2.209944751381221,,3,True,True,False
2454,2022-06-08,-13.2258064516129,False,-13.440860215053762,True,True,True,True,3,3.0,3.0,6.0,-4.623655913978498,-4.623655913978498,-4.623655913978498,-6.129032258064515,-4.8387096774193505,-4.8387096774193505,-4.8387096774193505,-6.5591397849462325,4,True,True,True
2454,2023-03-06,-1.7857142857142905,False,-5.229591836734693,True,True,True,False,2,2.0,4.0,,-2.0408163265306145,-2.0408163265306145,-3.57142857142857,,-2.423469387755106,-2.423469387755106,-3.9540816326530615,,3,True,True,False
2454,2023-05-22,7.659574468085117,True,-0.5673758865248235,True,True,False,False,3,9.0,,,0.42553191489360653,6.52482269503547,,,0.14184397163119478,6.382978723404253,,,2,True,False,False
2454,2023-05-23,5.72625698324023,True,-2.0949720670391025,True,True,False,False,2,8.0,,,-1.1173184357541888,4.88826815642458,,,-1.3966480446927387,4.748603351955305,,,2,True,False,False
2454,2023-09-05,7.660167130919215,True,-2.36768802228412,True,True,True,False,1,3.0,3.0,,-0.835654596100277,-1.253481894150421,-1.253481894150421,,-0.835654596100277,-2.36768802228412,-2.36768802228412,,3,True,True,False
2454,2024-02-15,13.683127572016463,True,-2.1604938271604923,True,True,False,False,2,10.0,,,-0.92592592592593,13.683127572016463,,,-2.1604938271604923,12.65432098765431,,,2,True,False,False
2454,2025-07-09,5.535055350553497,True,0.36900369003689537,True,True,False,False,3,6.0,,,2.2140221402213944,2.583025830258312,,,2.2140221402213944,2.2140221402213944,,,2,True,False,False
2454,2025-07-10,2.1428571428571352,True,-1.4285714285714235,True,True,False,False,2,5.0,,,-1.0714285714285676,-0.7142857142857117,,,-1.0714285714285676,-1.0714285714285676,,,2,True,False,False
2454,2025-09-09,-8.94039735099338,False,-8.94039735099338,True,True,True,True,2,4.0,8.0,9.0,-1.9867549668874163,-1.655629139072845,-4.635761589403975,-6.9536423841059625,-1.9867549668874163,-1.9867549668874163,-4.635761589403975,-7.284768211920534,4,True,True,True
2454,2025-09-16,-16.28664495114006,False,-16.28664495114006,True,True,True,True,2,3.0,3.0,4.0,-1.6286644951140072,-6.1889250814332275,-6.1889250814332275,-8.469055374592838,-2.6058631921824116,-6.1889250814332275,-6.1889250814332275,-8.794788273615639,4,True,True,True
2454,2026-01-05,-2.622950819672132,False,-7.21311475409836,True,True,True,True,1,3.0,4.0,4.0,-2.622950819672132,-5.245901639344264,-6.8852459016393475,-6.8852459016393475,-2.950819672131144,-5.9016393442623,-7.21311475409836,-7.21311475409836,4,True,True,True
0050,2021-12-24,3.1457531660253224,True,0.03495494630623153,True,True,False,False,4,9.0,,,1.7126857014856167,2.481651853214828,,,1.6078315293188927,2.4117419606023427,,,2,True,False,False
0050,2021-12-27,2.878952015949188,True,0.10406462825187646,True,True,False,False,3,8.0,,,0.9365287274899936,1.6996269932488817,,,0.8324746845934872,1.630250574414327,,,2,True,False,False
0050,2022-06-08,-7.220499092706268,False,-7.336959901964645,True,True,True,True,2,2.0,2.0,3.0,-1.319879299190363,-1.319879299190363,-1.319879299190363,-4.076086859943862,-1.8633551778057589,-1.8633551778057589,-1.8633551778057589,-4.153731348411338,4,True,True,True
0050,2022-11-09,10.622008109206792,True,-1.244022059098382,True,True,False,False,6,8.0,,,9.617227800725182,8.947366960881453,,,7.990429161838386,8.803824830853756,,,2,True,False,False
0050,2022-11-11,7.064217383708438,True,0.366973876953125,True,True,False,False,4,6.0,,,5.091745919043866,4.449539884514775,,,3.53210869185423,4.311923805726781,,,2,True,False,False
0050,2023-03-23,-0.8206811756443222,False,-1.395155494075162,True,True,True,False,2,3.0,8.0,,-0.3282737225178356,-1.1899852001640787,-0.6975777470375921,,-0.5334440164289078,-1.35412519207323,-0.8617114776462653,,3,True,True,False
0050,2023-05-18,2.4559966946577694,True,-0.8596013414992387,True,True,False,False,2,4.0,,,0.12280108391740097,-0.45026855905627716,,,-0.0409357766133156,-0.8596013414992387,,,2,True,False,False
0050,2023-12-15,1.3089005534363984,True,-1.2341016710143426,True,True,False,False,2,4.0,,,-0.224385234559088,-0.8227306431071835,,,-0.7105437321812014,-1.2341016710143426,,,2,True,False,False
0050,2024-09-24,3.8648615656672094,True,-1.0810810810810811,True,True,True,False,4,4.0,5.0,,-0.567569217166386,-0.567569217166386,-0.7567534575591228,,-0.567569217166386,-0.567569217166386,-0.8918885926942566,,3,True,True,False
0050,2024-09-25,2.423437044877663,True,-2.5299600532623145,True,True,True,False,3,3.0,4.0,,-2.0239696680467656,-2.0239696680467656,-2.2103829009237685,,-2.0239696680467656,-2.0239696680467656,-2.3435386932007307,,3,True,True,False
0050,2025-01-07,-2.78864829669655,False,-5.210368989481429,True,True,True,True,1,2.0,4.0,4.0,-1.4921662837785399,-2.617412428806609,-4.892368052155794,-4.892368052155794,-1.638938818375446,-2.6418757620996325,-5.0391331215914885,-5.0391331215914885,4,True,True,True
0050,2025-09-09,8.441556787110605,True,0.9276437585255648,True,False,False,False,6,,,,4.5454487548870715,,,,4.359922834126073,,,,1,False,False,False
0050,2025-09-10,6.278436242108798,True,0.5459494684172617,True,False,False,False,5,,,,2.5477664999885574,,,,2.365785657890873,,,,1,False,False,False
0050,2025-09-16,2.3788519367772487,True,-0.8810572687224627,True,True,True,False,1,8.0,8.0,,-0.7048485037513874,0.8810572687224738,0.8810572687224738,,-0.8810572687224627,0.1762087649710864,0.1762087649710864,,3,True,True,False
0050,2025-12-08,-0.4709564104669272,False,-3.3751985873283874,True,True,True,True,3,3.0,5.0,7.0,-0.5494541359911564,-0.5494541359911564,-1.4128752199364603,-2.825744451337253,-0.7849293469567753,-0.7849293469567753,-2.040815104380478,-2.9042421768614712,4,True,True,True
0050,2026-02-11,-4.663210643045323,False,-7.189113525592761,True,True,True,True,5,6.0,7.0,10.0,4.080313018653081,2.0077760531480138,-2.0725369655050563,-4.663210643045323,2.525912765183236,1.8782443457981746,-2.2020686728549066,-7.189113525592761,4,True,True,True
0050,2026-02-24,-1.5113407488356323,False,-9.760705102095034,True,True,True,True,3,4.0,5.0,8.0,1.1964696851202827,-0.8186417045181638,-4.78589795809925,-7.304789597349581,-0.31486145490629003,-0.9445843647188701,-4.911840618299957,-9.760705102095034,4,True,True,True
2603,2022-04-21,5.841924398625431,True,-8.591065292096223,True,True,True,True,2,2.0,2.0,5.0,-4.123711340206182,-4.123711340206182,-4.123711340206182,-5.154639175257736,-4.467353951890029,-4.467353951890029,-4.467353951890029,-5.154639175257736,4,True,True,True
2603,2022-05-04,-9.24092409240924,False,-10.89108910891089,True,True,True,True,3,3.0,5.0,6.0,-2.970297029702973,-2.970297029702973,-4.62046204620462,-8.25082508250825,-2.970297029702973,-2.970297029702973,-4.62046204620462,-8.25082508250825,4,True,True,True
2603,2022-11-14,1.2861736334405238,True,-5.787781350482312,True,True,True,False,2,4.0,4.0,,-0.6430868167202619,-3.2154340836012874,-3.2154340836012874,,-1.2861736334405127,-3.5369774919614128,-3.5369774919614128,,3,True,True,False
